criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=1e-06_lr_0=0.0001_n=3441_random_state=3001,3441,3001,3526.9044485092163,0.7963727116584778,1.2931908646295236
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=370_random_state=1001,370,1001,4304.896736621857,0.9189189672470092,0.3022200465202331
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=370_random_state=2001,370,2001,3808.7702598571777,0.95945942401886,0.1706789284944534
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=370_random_state=3001,370,3001,3766.4419836997986,0.8918919563293457,0.3289061486721039
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=3441_random_state=1001,3441,1001,3848.8787014484406,0.9512802362442015,0.1601022438601005
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=3441_random_state=2001,3441,2001,4235.042125463486,0.9562351107597352,0.1467905633671339
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.1_n=3441_random_state=3001,3441,3001,4315.949292182922,0.9647937417030334,0.1296733668030694
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=370_random_state=1001,370,1001,3887.945458650589,0.9459459781646729,0.1560501307249069
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=370_random_state=2001,370,2001,4247.528638601303,0.9324324727058412,0.2049127370119094
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=370_random_state=3001,370,3001,4207.9873259067535,0.8918918967247009,0.2691353857517242
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=3441_random_state=1001,3441,1001,3529.8171339035034,0.9554054141044616,0.1496756804543872
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=3441_random_state=2001,3441,2001,4167.001156568527,0.9566856026649476,0.1137996658163015
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=3441_random_state=3001,3441,3001,3532.62148976326,0.9661450386047364,0.1291004561407621
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=370_random_state=1001,370,1001,4123.969388961792,0.9459459781646729,0.1862121671438217
