criterion,model_name,n,random_state,runtime,val_acc,val_nll,val_bma_acc,val_clml
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.01_n=100_random_state=3001,100,3001,3781.7171289920807,0.1500000059604644,14.974504470825195,0.4,-152.2391709942571
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=100_random_state=1001,100,1001,3625.591334581375,0.550000011920929,2.999241352081299,0.65,-4.454151834940099
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=100_random_state=2001,100,2001,3701.591120004654,0.5,2.8536570072174072,0.6,-16.867483105157994
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=100_random_state=3001,100,3001,3623.0251891613007,0.4000000059604645,3.4102542400360107,0.75,-14.054945911859654
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=100_random_state=1001,100,1001,3584.1089475154877,0.6499999761581421,1.2153931856155396,0.65,-7.489447082971715
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=100_random_state=2001,100,2001,3652.9185514450073,0.550000011920929,1.454064130783081,0.55,-6.889042582010411
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=100_random_state=3001,100,3001,3677.6960763931274,0.75,0.9687841534614564,0.75,-5.569767441248082
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=100_random_state=1001,100,1001,3523.181500673294,0.7000000476837158,1.4811357259750366,0.7,-1.218063439821386
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=100_random_state=2001,100,2001,3560.2720630168915,0.6000000238418579,2.1459107398986816,0.6,-0.9901039261571404
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=100_random_state=3001,100,3001,3612.2470557689667,0.699999988079071,0.9218929409980774,0.7,-1.178025688623571
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=100_random_state=2001,100,2001,3652.763811826706,0.6000000238418579,2.4794352054595947,0.6,-1.1063787598363397
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=100_random_state=3001,100,3001,4113.127241373062,0.7000000476837158,1.0091028213500977,0.75,-2.01823451707282
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=100_random_state=1001,100,1001,3515.821781873703,0.7000000476837158,1.234697937965393,0.7,-1.5802796740285392
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=100_random_state=2001,100,2001,3612.1047537326813,0.4500000178813934,2.094757080078125,0.55,-1.5224409956685538
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=100_random_state=3001,100,3001,3540.6011724472046,0.7000000476837158,0.8025554418563843,0.7,-3.9800790209523673
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=100_random_state=2001,100,2001,3510.0248057842255,0.550000011920929,1.4583423137664795,0.55,-7.220576729272984
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=100_random_state=3001,100,3001,3686.163266181946,0.75,0.9671062231063844,0.75,-5.549046244119786
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,3555.91047167778,0.7000000476837158,0.877851128578186,0.7,-0.9365348477117056
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,3592.737626314163,0.6000000238418579,1.878106713294983,0.6,-0.9349412579289909
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,3644.835181236267,0.9000000357627869,0.2983941435813904,0.9,-0.7988149780980582
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,3720.5971579551697,0.550000011920929,1.3435004949569702,0.6,-1.0029393095723624
