criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=40000_random_state=3001,40000,3001,7178.630182027817,0.9359210133552552,0.0200080278662253
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=120000_random_state=1001,120000,1001,7171.257834196091,0.9389473795890808,0.0172297816460118
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=120000_random_state=2001,120000,2001,7334.846955060959,0.9390789270401,0.0175287736533209
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.1_n=120000_random_state=3001,120000,3001,6877.644055843353,0.9399999976158142,0.016893574103137
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=40_random_state=1001,40,1001,6225.971387624741,0.768157958984375,0.1146333200224724
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=40_random_state=2001,40,2001,4897.055072307587,0.8071052432060242,0.0994878256605251
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=40_random_state=3001,40,3001,4862.067573547363,0.7073684334754944,0.1496424727141858
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=400_random_state=1001,400,1001,7312.758150577545,0.859342098236084,0.0905071716171713
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=400_random_state=2001,400,2001,7471.049971580505,0.8673684597015381,0.0894653546263611
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=400_random_state=3001,400,3001,7621.276288509369,0.8719736337661743,0.0796846974494761
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=4000_random_state=1001,4000,1001,7647.121543645859,0.9025000333786012,0.0670400155205779
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=4000_random_state=2001,4000,2001,7588.022778272629,0.904736876487732,0.0699174449232613
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=4000_random_state=3001,4000,3001,7624.647563695908,0.9006578922271729,0.0732010502955754
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=40000_random_state=1001,40000,1001,7109.333327293396,0.9375,0.0246737562565862
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=40000_random_state=2001,40000,2001,7056.649802207947,0.932894766330719,0.0239333795673538
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=40000_random_state=3001,40000,3001,6883.110926628113,0.9348684549331664,0.0249958311199474
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=120000_random_state=1001,120000,1001,7246.383347034454,0.945263147354126,0.0165429046945523
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=120000_random_state=2001,120000,2001,7088.438923120499,0.9455263018608092,0.016570056675823
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.01_n=120000_random_state=3001,120000,3001,7404.347478151321,0.9431579113006592,0.0165492058227966
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=40_random_state=1001,40,1001,4948.365035295486,0.7217105627059937,0.1356494027591849
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=40_random_state=2001,40,2001,7454.332197904587,0.7668421268463135,0.1224132445885946
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=40_random_state=3001,40,3001,6149.1588587760925,0.6798684000968933,0.1547317826943962
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=400_random_state=1001,400,1001,7201.184473514557,0.8521052598953247,0.0968074052610532
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=400_random_state=2001,400,2001,7386.229164361954,0.8667105436325073,0.0801992183787086
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=400_random_state=3001,400,3001,7265.6869485378265,0.8682894706726074,0.0742406527895409
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=4000_random_state=1001,4000,1001,7749.005465745926,0.8996052742004395,0.0583556752657827
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=4000_random_state=2001,4000,2001,7647.479073762894,0.9069737195968628,0.0526901024022242
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=4000_random_state=3001,4000,3001,7605.050348997116,0.8986842036247253,0.0577878307330186
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=40000_random_state=1001,40000,1001,7031.797416448593,0.92802631855011,0.0208618082297279
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=40000_random_state=2001,40000,2001,7077.607709407806,0.9267105460166932,0.0208946665095802
