criterion,model_name,n,random_state,runtime,test_acc,test_nll,test_bma_acc,test_clml
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=100_random_state=1001,100,1001,2910.1972255706787,0.5904,1.2865951135635376,0.5907,-7.138806215176865
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=100_random_state=2001,100,2001,2891.2324199676514,0.6500999999999999,1.0533233877182009,0.6475,-5.1769040736058205
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=100_random_state=3001,100,3001,2935.277177095413,0.7137,0.9082796522140504,0.7139,-4.203556886563584
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=100_random_state=1001,100,1001,2928.875523328781,0.8089000000000001,0.657938775253296,0.8061999999999999,-0.7472714098790139
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=100_random_state=2001,100,2001,2922.74694108963,0.7727999999999999,0.8439477031707765,0.7723000000000001,-0.7101162585118264
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=100_random_state=3001,100,3001,3042.390054702759,0.7859,0.7625308547973633,0.7863,-0.7162502917149514
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.01_n=100_random_state=1001,100,1001,3066.4739813804626,0.7578,0.8155335937500002,0.7429,-1.272236696133897
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.01_n=100_random_state=2001,100,2001,2933.1455171108246,0.7646,0.8720604305267338,0.7613000000000001,-0.9791344317295998
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.01_n=100_random_state=3001,100,3001,3050.199203968048,0.7966,0.7347345113754271,0.7937999999999998,-0.8330410631993264
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.001_n=100_random_state=1001,100,1001,2929.005533218384,0.6613,1.0944783679962156,0.6623,-1.4987510355809182
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.001_n=100_random_state=2001,100,2001,2918.4187808036804,0.6842999999999999,1.1312276041030884,0.6875,-2.2668560656407326
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.001_n=100_random_state=3001,100,3001,2917.8997831344604,0.7363,0.883056501197815,0.7355999999999999,-0.9956034334996192
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.0001_n=100_random_state=1001,100,1001,2931.0887455940247,0.5902000000000001,1.2867113241195682,0.5908,-7.123498311887071
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.0001_n=100_random_state=2001,100,2001,2947.7480528354645,0.6501999999999999,1.0531860330581666,0.6487,-5.175937047848985
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.0001_n=100_random_state=3001,100,3001,2951.690040588379,0.7135999999999999,0.9079633653640748,0.7139,-4.18955694759874
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.1_n=100_random_state=1001,100,1001,3094.0117542743683,0.8059,0.6947824329376223,0.8045,-0.7179478319981545
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.1_n=100_random_state=2001,100,2001,2938.6516942977905,0.8123000000000001,0.6675443490982053,0.8079000000000001,-0.703685632596299
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.1_n=100_random_state=3001,100,3001,2930.6886789798737,0.8009000000000001,0.6930473392486572,0.8000999999999999,-0.6506231936314553
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.01_n=100_random_state=1001,100,1001,2991.174530982971,0.7651,0.8188219045639039,0.7528,-1.1266878756382912
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.01_n=100_random_state=2001,100,2001,2955.1335072517395,0.7796000000000001,0.8530776550292971,0.7758,-0.8575476321080178
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.01_n=100_random_state=3001,100,3001,2916.999420642853,0.8063,0.7267646444320677,0.8042000000000001,-0.7451666506627053
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.001_n=100_random_state=1001,100,1001,2901.4666793346405,0.6617,1.0968632392883304,0.6618,-1.4828027399876564
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.001_n=100_random_state=2001,100,2001,3008.998473882675,0.6843,1.1343166734695431,0.6890000000000001,-2.2778795870640725
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.001_n=100_random_state=3001,100,3001,2940.8610274791718,0.7365999999999999,0.8848434684753423,0.7362,-0.984863153348252
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.0001_n=100_random_state=1001,100,1001,2958.0055952072144,0.5902000000000001,1.2867270818710332,0.5909,-7.121738544354722
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.0001_n=100_random_state=2001,100,2001,2990.393700361252,0.6501999999999999,1.0531682188034062,0.649,-5.193487993130967
l2-sp,l2-sp_alpha=0.001_beta=0.0001_lr_0=0.0001_n=100_random_state=3001,100,3001,2953.0172340869904,0.7135999999999999,0.9079392240524292,0.7139,-4.188110223660752
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.1_n=100_random_state=1001,100,1001,2943.570992708206,0.8079000000000001,0.7193372779846191,0.8073,-0.6173437746861428
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.1_n=100_random_state=2001,100,2001,2913.276579618454,0.8035,0.737427990913391,0.7996,-0.7246493014195412
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.1_n=100_random_state=3001,100,3001,2944.884167432785,0.7953000000000001,0.7750299154281619,0.7934000000000001,-0.6780842455723732
