criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=10000_random_state=2001,10000,2001,1996.0459070205688,0.9380000829696656,0.1909754860401153
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=10000_random_state=3001,10000,3001,2080.847676515579,0.9338000416755676,0.1970762558460236
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=50000_random_state=1001,50000,1001,2146.2244052886963,0.9459999799728394,0.1602512081384659
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=50000_random_state=2001,50000,2001,2036.3877084255219,0.945199966430664,0.1626126391887664
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=50000_random_state=3001,50000,3001,1930.7730722427368,0.9434000253677368,0.1651985845804214
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=100_random_state=1001,100,1001,1711.1198344230652,0.684499979019165,1.0232393616676334
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=100_random_state=2001,100,2001,1995.5535869598389,0.6431000232696533,1.0641432245254516
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=100_random_state=3001,100,3001,1746.0012509822845,0.6759999990463257,0.9938320613861084
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1000_random_state=1001,1000,1001,2172.352852344513,0.7996000051498413,0.8193030653953552
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1000_random_state=2001,1000,2001,2169.9792988300323,0.8073999881744385,0.8109391302108765
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=1000_random_state=3001,1000,3001,2084.2645285129547,0.7968000173568726,0.8054583620071412
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=10000_random_state=1001,10000,1001,2174.5761620998383,0.8061999678611755,0.8141812525749207
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=10000_random_state=2001,10000,2001,2175.454600572586,0.8154000639915466,0.848707958698273
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=10000_random_state=3001,10000,3001,2191.1459860801697,0.8102999925613403,0.8446781543731692
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=50000_random_state=1001,50000,1001,2046.8873076438904,0.8030999898910522,0.8414951305389405
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=50000_random_state=2001,50000,2001,2115.372304201126,0.8152999877929688,0.8457179047584533
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=50000_random_state=3001,50000,3001,2081.391426086426,0.8083000779151917,0.8479847064971925
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=100_random_state=1001,100,1001,1720.0104043483734,0.6765000224113464,1.109946026992798
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=100_random_state=2001,100,2001,1752.4818577766418,0.6586000323295593,1.1888310146331793
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=100_random_state=3001,100,3001,1733.9517114162445,0.7021000385284424,1.0089865203857424
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1000_random_state=1001,1000,1001,2115.2078533172607,0.8809000253677368,0.4624064434051513
